timestamp,Name,Node,value
2024-09-05 14:03:27.507437,movementStatus,ns=4;i=6201,0
2024-09-05 14:03:28.052371,driveCutoffPrinciple,ns=4;i=6526,1
2024-09-05 14:03:28.487211,isUsingRedrive,ns=4;i=6199,False
2024-09-05 14:03:28.914411,pSamplingInterval ,ns=4;i=6205,10.0
2024-09-05 14:03:29.458717,pointOperationTimer,ns=4;i=6202,10.0
2024-09-05 14:03:29.897379,turnCounter ,ns=4;i=6531,
2024-09-05 14:03:30.550634,StatusTechnical,ns=4;i=6209,0
2024-09-05 14:03:30.550634,isTimeSynchronised,ns=4;i=6527,True
2024-09-05 14:03:31.530322,StatusTechnicalManufacturerSpecificMessage,ns=4;i=6529,
2024-09-05 14:03:31.530322,SubsystemIdentification,ns=4;i=6210,S6
2024-09-05 14:03:31.964153,BasicDataReadable,ns=4;i=6206,3
2024-09-05 14:03:32.513128,FieldElementSpecificationRevision,ns=4;i=6207,1.6 (1.A)
2024-09-05 14:03:32.947147,OperationStatus,ns=4;i=6208,6
2024-09-05 14:03:33.384121,TechnicalPlace,ns=4;i=6185,TP_S6
2024-09-05 14:03:33.932724,lat,ns=4;i=6186,32.343
2024-09-05 14:03:34.578938,lon,ns=4;i=6187,74.655
2024-09-05 14:03:35.023192,trackEdgeId,ns=4;i=6188,1
2024-09-05 14:03:35.564544,trackKm,ns=4;i=6189,1.23
2024-09-05 14:03:36.010955,IsMaintenanceMode,ns=4;i=6190,False
2024-09-05 14:03:36.557812,ableToMoveStatus,ns=4;i=6532,0
2024-09-05 14:03:36.993977,position,ns=4;i=6196,0
2024-09-05 14:03:37.420428,index,ns=4;i=6193,PM_06
2024-09-05 14:03:38.086001,isCrucial,ns=4;i=6194,True
2024-09-05 14:03:38.520946,machineType,ns=4;i=6195,1
2024-09-05 14:03:38.964431,timeOffsetStartLeft,ns=4;i=6533,0.0
2024-09-05 14:03:39.518035,timeOffsetStartRight,ns=4;i=6534,0.0
2024-09-05 14:03:39.950983,turnCounter,ns=4;i=6197,
2024-09-05 14:03:40.401816,aggregateAbleToMoveStatus ,ns=4;i=6535,1
2024-09-05 14:03:40.934740,lastCommandedPosition ,ns=4;i=6226,0
2024-09-05 14:03:41.490764,pointAbleToMoveStatus,ns=4;i=6538,0
2024-09-05 14:03:41.934197,position,ns=4;i=6229,0
2024-09-05 14:03:42.490168,positionDegraded ,ns=4;i=6230,4
2024-09-05 14:03:42.951273,movementStatus,ns=4;i=6227,0
2024-09-05 14:03:43.392331,driveCutoffPrinciple,ns=4;i=6536,1
2024-09-05 14:03:43.927063,isUsingRedrive,ns=4;i=6225,False
2024-09-05 14:03:44.589405,pSamplingInterval ,ns=4;i=6231,10.0
2024-09-05 14:03:45.032689,pointOperationTimer,ns=4;i=6228,10.0
2024-09-05 14:03:45.474090,turnCounter ,ns=4;i=6541,
2024-09-05 14:03:45.920776,StatusTechnical,ns=4;i=6235,0
2024-09-05 14:03:46.580236,isTimeSynchronised,ns=4;i=6537,True
2024-09-05 14:03:46.581775,StatusTechnicalManufacturerSpecificMessage,ns=4;i=6539,
2024-09-05 14:03:47.568004,SubsystemIdentification,ns=4;i=6236,S7
2024-09-05 14:03:47.568004,BasicDataReadable,ns=4;i=6232,3
2024-09-05 14:03:48.001265,FieldElementSpecificationRevision,ns=4;i=6233,1.6 (1.A)
2024-09-05 14:03:48.441251,OperationStatus,ns=4;i=6234,6
2024-09-05 14:03:48.883505,TechnicalPlace,ns=4;i=6211,TP_S7
2024-09-05 14:03:49.543818,lat,ns=4;i=6212,32.343
2024-09-05 14:03:49.989258,lon,ns=4;i=6213,74.655
2024-09-05 14:03:50.428824,trackEdgeId,ns=4;i=6214,1
2024-09-05 14:03:50.983963,trackKm,ns=4;i=6215,1.23
2024-09-05 14:03:51.433112,IsMaintenanceMode,ns=4;i=6216,False
2024-09-05 14:03:52.082748,ableToMoveStatus,ns=4;i=6542,0
2024-09-05 14:03:52.529213,position,ns=4;i=6222,0
2024-09-05 14:03:53.068521,index,ns=4;i=6219,PM_07
2024-09-05 14:03:53.502914,isCrucial,ns=4;i=6220,True
2024-09-05 14:03:54.035252,machineType,ns=4;i=6221,1
2024-09-05 14:03:54.476799,timeOffsetStartLeft,ns=4;i=6543,0.0
2024-09-05 14:03:54.925034,timeOffsetStartRight,ns=4;i=6544,0.0
2024-09-05 14:03:55.487922,turnCounter,ns=4;i=6223,
2024-09-05 14:03:55.930159,aggregateAbleToMoveStatus ,ns=4;i=6545,1
2024-09-05 14:03:56.575008,lastCommandedPosition ,ns=4;i=6252,0
2024-09-05 14:03:57.016524,pointAbleToMoveStatus,ns=4;i=6548,0
2024-09-05 14:03:57.459269,position,ns=4;i=6255,0
2024-09-05 14:03:57.903866,positionDegraded ,ns=4;i=6256,4
2024-09-05 14:03:58.552367,movementStatus,ns=4;i=6253,0
2024-09-05 14:03:59.006446,driveCutoffPrinciple,ns=4;i=6546,1
2024-09-05 14:03:59.440780,isUsingRedrive,ns=4;i=6251,False
2024-09-05 14:03:59.995745,pSamplingInterval ,ns=4;i=6257,10.0
2024-09-05 14:04:00.424656,pointOperationTimer,ns=4;i=6254,10.0
2024-09-05 14:04:01.083194,turnCounter ,ns=4;i=6551,
2024-09-05 14:04:01.083194,StatusTechnical,ns=4;i=6261,0
2024-09-05 14:04:01.534913,isTimeSynchronised,ns=4;i=6547,True
2024-09-05 14:04:01.969396,StatusTechnicalManufacturerSpecificMessage,ns=4;i=6549,
2024-09-05 14:04:02.393306,SubsystemIdentification,ns=4;i=6262,S8
2024-09-05 14:04:03.051069,BasicDataReadable,ns=4;i=6258,3
2024-09-05 14:04:03.486279,FieldElementSpecificationRevision,ns=4;i=6259,1.6 (1.A)
2024-09-05 14:04:03.929566,OperationStatus,ns=4;i=6260,6
2024-09-05 14:04:04.488352,TechnicalPlace,ns=4;i=6237,TP_S8
2024-09-05 14:04:04.937322,lat,ns=4;i=6238,32.343
2024-09-05 14:04:05.380795,lon,ns=4;i=6239,74.655
2024-09-05 14:04:05.923219,trackEdgeId,ns=4;i=6240,1
2024-09-05 14:04:06.566560,trackKm,ns=4;i=6241,1.23
2024-09-05 14:04:06.568891,IsMaintenanceMode,ns=4;i=6242,False
2024-09-05 14:04:07.443601,ableToMoveStatus,ns=4;i=6552,0
2024-09-05 14:04:07.884790,position,ns=4;i=6248,0
2024-09-05 14:04:08.539933,index,ns=4;i=6245,PM_08
2024-09-05 14:04:08.539933,isCrucial,ns=4;i=6246,True
2024-09-05 14:04:09.509856,machineType,ns=4;i=6247,1
2024-09-05 14:04:09.512194,timeOffsetStartLeft,ns=4;i=6553,0.0
2024-09-05 14:04:09.933953,timeOffsetStartRight,ns=4;i=6554,0.0
2024-09-05 14:04:10.476789,turnCounter,ns=4;i=6249,
2024-09-05 14:04:11.601371,aggregateAbleToMoveStatus ,ns=4;i=6555,1
2024-09-05 14:04:11.601371,lastCommandedPosition ,ns=4;i=6278,0
2024-09-05 14:04:12.589627,pointAbleToMoveStatus,ns=4;i=6558,0
2024-09-05 14:04:12.589627,position,ns=4;i=6281,0
2024-09-05 14:04:13.031388,positionDegraded ,ns=4;i=6282,4
2024-09-05 14:04:13.574159,movementStatus,ns=4;i=6279,0
2024-09-05 14:04:14.003117,driveCutoffPrinciple,ns=4;i=6556,1
2024-09-05 14:04:14.435594,isUsingRedrive,ns=4;i=6277,False
2024-09-05 14:04:14.991781,pSamplingInterval ,ns=4;i=6283,10.0
2024-09-05 14:04:15.417605,pointOperationTimer,ns=4;i=6280,10.0
2024-09-05 14:04:16.089444,turnCounter ,ns=4;i=6561,
2024-09-05 14:04:16.410600,StatusTechnical,ns=4;i=6287,0
2024-09-05 14:04:17.083815,isTimeSynchronised,ns=4;i=6557,True
2024-09-05 14:04:17.514099,StatusTechnicalManufacturerSpecificMessage,ns=4;i=6559,
2024-09-05 14:04:18.067598,SubsystemIdentification,ns=4;i=6288,S9
2024-09-05 14:04:18.500988,BasicDataReadable,ns=4;i=6284,3
2024-09-05 14:04:19.054473,FieldElementSpecificationRevision,ns=4;i=6285,1.6 (1.A)
2024-09-05 14:04:19.484862,OperationStatus,ns=4;i=6286,6
2024-09-05 14:04:19.924534,TechnicalPlace,ns=4;i=6263,TP_S9
2024-09-05 14:04:20.563143,lat,ns=4;i=6264,32.343
2024-09-05 14:04:20.563143,lon,ns=4;i=6265,74.655
2024-09-05 14:04:21.009385,trackEdgeId,ns=4;i=6266,1
2024-09-05 14:04:21.446422,trackKm,ns=4;i=6267,1.23
2024-09-05 14:04:21.992397,IsMaintenanceMode,ns=4;i=6268,False
